id,ciudad,pais,latitud,longitud,alerta_max_temp,alerta_min_temp,alerta_max_temp_f,alerta_min_temp_f,temperatura,temp_max,temp_min,sensacion_termica,humedad,viento,codigo_clima,descripcion,icono,ultima_consulta
1,Madrid,España,40.4165,-3.70256,,,,,,,,,,,,,,
2,Bogotá,Colombia,4.60971,-74.08175,,,,,,,,,,,,,,
3,Buenos Aires,Argentina,-34.61315,-58.37723,,,,,12.4,14.4,9.9,12.3,91.0,3.5,2.0,Parcialmente nublado,partly_cloudy,2026-05-24 17:45:56
4,Valledupar,Colombia,10.46538,-73.2531,28.0,6.0,,,31.7,35.3,24.6,33.7,57.0,20.6,3.0,Nublado,cloudy,2026-05-24 17:45:23
5,Cuzco,Perú,-13.53188,-71.96701,,,,,,,,,,,,,,
6,York,Estados Unidos,40.86807,-97.592,,,,,,,,,,,,,,
7,Pereira,Colombia,4.81428,-75.69488,,,,,21.1,28.1,17.4,24.5,99.0,6.3,51.0,Llovizna ligera,drizzle,2026-05-24 17:45:37
8,Dos Quebradas,Colombia,4.83916,-75.66727,,,,,,,,,,,,,,
9,Cauca,Colombia,5.63265,-72.13526,,,,,,,,,,,,,,
10,Leticia,Colombia,-4.21079,-69.93944,,,,,,,,,,,,,,
11,Alicante,España,38.34517,-0.48149,,,,,,,,,,,,,,
