id,ciudad,fecha,temp_max,temp_min,precipitacion,viento_max
1,Bogotá,2026-04-23,18.6,10.3,5.5,12.1
2,Bogotá,2026-04-24,17.7,9.4,1.7,13.1
3,Bogotá,2026-04-25,17.4,11.0,2.2,12.7
4,Bogotá,2026-04-26,19.6,9.8,8.7,9.3
5,Bogotá,2026-04-27,19.1,11.2,13.7,8.9
6,Bogotá,2026-04-28,18.7,11.5,1.0,7.1
7,Bogotá,2026-04-29,18.2,11.2,6.4,12.2
8,Bogotá,2026-04-30,19.3,9.5,0.0,15.7
9,Bogotá,2026-05-01,19.9,9.2,0.0,17.4
10,Bogotá,2026-05-02,18.7,11.8,1.4,14.1
11,Bogotá,2026-05-03,20.1,9.8,0.8,10.3
12,Bogotá,2026-05-04,19.1,11.3,1.7,14.4
13,Bogotá,2026-05-05,19.2,10.8,0.3,14.9
14,Bogotá,2026-05-06,19.9,10.6,0.1,13.6
15,Bogotá,2026-05-07,19.8,9.3,0.3,12.4
16,Bogotá,2026-05-08,22.3,9.4,0.2,10.4
17,Bogotá,2026-05-09,20.3,8.0,0.0,18.3
18,Bogotá,2026-05-10,19.8,9.0,0.1,15.0
19,Bogotá,2026-05-11,20.6,10.7,0.5,13.2
20,Bogotá,2026-05-12,19.8,11.5,1.2,15.3
21,Bogotá,2026-05-13,20.9,12.1,1.4,12.6
22,Bogotá,2026-05-14,20.4,11.7,1.0,12.2
23,Bogotá,2026-05-15,21.0,10.2,1.1,14.0
24,Bogotá,2026-05-16,21.1,12.1,1.8,13.8
25,Bogotá,2026-05-17,19.6,12.4,2.1,13.5
26,Bogotá,2026-05-18,20.3,11.5,2.6,14.3
27,Bogotá,2026-05-19,21.0,11.7,0.4,14.9
28,Bogotá,2026-05-20,20.9,12.8,0.5,16.2
29,Bogotá,2026-05-21,19.5,12.3,8.2,14.5
30,Bogotá,2026-05-22,20.1,11.9,6.5,15.8
31,Buenos Aires,2026-04-23,21.9,12.1,0.0,10.3
32,Buenos Aires,2026-04-24,21.2,12.4,0.0,9.5
33,Buenos Aires,2026-04-25,24.8,14.4,0.0,11.5
34,Buenos Aires,2026-04-26,17.0,10.6,0.1,30.6
35,Buenos Aires,2026-04-27,16.4,7.9,0.0,25.8
36,Buenos Aires,2026-04-28,20.1,7.8,0.0,16.8
37,Buenos Aires,2026-04-29,23.1,12.9,0.0,20.1
38,Buenos Aires,2026-04-30,22.4,11.2,0.0,11.8
39,Buenos Aires,2026-05-01,24.0,16.6,0.0,19.1
40,Buenos Aires,2026-05-02,17.5,10.2,0.0,19.3
41,Buenos Aires,2026-05-03,17.0,5.2,0.0,16.4
42,Buenos Aires,2026-05-04,21.4,10.8,0.0,16.2
43,Buenos Aires,2026-05-05,22.4,14.7,3.7,15.2
44,Buenos Aires,2026-05-06,23.8,17.5,45.5,20.7
45,Buenos Aires,2026-05-07,20.1,11.7,0.5,23.2
46,Buenos Aires,2026-05-08,12.8,8.1,1.1,26.3
47,Buenos Aires,2026-05-09,12.1,6.6,3.0,26.5
48,Buenos Aires,2026-05-10,14.9,5.0,0.0,18.4
49,Buenos Aires,2026-05-11,16.6,4.7,0.0,16.3
50,Buenos Aires,2026-05-12,21.0,9.6,0.0,17.6
51,Buenos Aires,2026-05-13,15.1,7.3,0.0,10.2
52,Buenos Aires,2026-05-14,16.4,8.1,0.0,10.0
53,Buenos Aires,2026-05-15,16.1,7.4,0.0,10.3
54,Buenos Aires,2026-05-16,13.7,9.9,0.3,16.6
55,Buenos Aires,2026-05-17,13.5,7.8,0.5,14.9
56,Buenos Aires,2026-05-18,15.8,4.7,0.0,10.5
57,Buenos Aires,2026-05-19,17.2,5.9,0.0,11.7
58,Buenos Aires,2026-05-20,14.2,7.1,0.0,14.6
59,Buenos Aires,2026-05-21,12.2,5.8,0.0,9.8
60,Buenos Aires,2026-05-22,12.1,4.8,0.0,7.1
61,Cuzco,2026-04-17,17.8,5.6,1.8,7.3
62,Cuzco,2026-04-18,17.2,6.3,3.5,9.9
63,Cuzco,2026-04-19,15.6,7.6,6.9,10.0
64,Cuzco,2026-04-20,14.2,7.7,8.1,5.6
65,Cuzco,2026-04-21,14.2,6.1,7.7,7.1
66,Cuzco,2026-04-22,16.6,7.6,9.5,7.8
67,Cuzco,2026-04-23,16.1,7.6,1.2,10.8
68,Cuzco,2026-04-24,16.5,6.8,3.5,8.3
69,Cuzco,2026-04-25,16.9,5.5,0.1,14.0
70,Cuzco,2026-04-26,18.0,3.8,3.2,12.2
71,Cuzco,2026-04-27,18.0,7.2,6.4,5.5
72,Cuzco,2026-04-28,17.8,6.5,5.7,8.5
73,Cuzco,2026-04-29,18.1,6.8,1.9,12.3
74,Cuzco,2026-04-30,17.0,5.2,2.5,10.1
75,Cuzco,2026-05-01,17.4,5.2,1.1,9.9
76,Cuzco,2026-05-02,18.7,6.8,0.0,13.7
77,Cuzco,2026-05-03,18.1,4.8,0.0,7.5
78,Cuzco,2026-05-04,19.0,6.4,0.0,14.8
79,Cuzco,2026-05-05,19.3,4.2,0.0,12.7
80,Cuzco,2026-05-06,19.4,3.2,0.0,6.0
81,Cuzco,2026-05-07,19.9,7.2,0.3,9.1
82,Cuzco,2026-05-08,18.9,5.5,2.7,7.6
83,Cuzco,2026-05-09,16.7,5.4,0.7,12.0
84,Cuzco,2026-05-10,17.2,5.5,1.8,6.2
85,Cuzco,2026-05-11,17.1,4.9,3.9,8.5
86,Cuzco,2026-05-12,15.3,6.0,2.0,8.9
87,Cuzco,2026-05-13,15.9,3.3,0.4,10.6
88,Cuzco,2026-05-14,16.8,2.5,0.3,14.1
89,Cuzco,2026-05-15,16.9,2.5,0.1,10.9
90,Cuzco,2026-05-16,18.1,3.9,0.0,10.2
91,Madrid,2026-02-21,,,,
92,Madrid,2026-02-22,,,,
93,Madrid,2026-02-23,,,,
94,Madrid,2026-02-24,,,,
95,Madrid,2026-02-25,,,,
96,Madrid,2026-02-26,,,,
97,Madrid,2026-02-27,,,,
98,Madrid,2026-02-28,,,,
99,Madrid,2026-03-01,,,,
100,Madrid,2026-03-02,,,,
101,Madrid,2026-03-03,,,,
102,Madrid,2026-03-04,,,,
103,Madrid,2026-03-05,,,,
104,Madrid,2026-03-06,,,,
105,Madrid,2026-03-07,,,,
106,Madrid,2026-03-08,,,,
107,Madrid,2026-03-09,,,,
108,Madrid,2026-03-10,12.2,10.1,,9.2
109,Madrid,2026-03-11,15.2,7.3,0.0,9.8
110,Madrid,2026-03-12,17.2,8.0,0.0,13.4
111,Madrid,2026-03-13,17.4,8.9,0.0,22.6
112,Madrid,2026-03-14,13.1,9.8,0.1,38.1
113,Madrid,2026-03-15,15.2,6.9,0.2,26.0
114,Madrid,2026-03-16,18.0,6.3,0.0,9.7
115,Madrid,2026-03-17,21.0,9.2,0.0,14.7
116,Madrid,2026-03-18,17.5,9.7,0.0,14.2
117,Madrid,2026-03-19,17.8,8.2,0.0,23.7
118,Madrid,2026-03-20,13.0,7.1,0.3,17.0
119,Madrid,2026-03-21,10.2,7.9,0.4,16.1
120,Madrid,2026-03-22,17.6,6.1,0.0,15.4
121,Madrid,2026-03-23,16.6,5.1,0.0,18.3
122,Madrid,2026-03-24,17.3,4.5,0.0,8.5
123,Madrid,2026-03-25,20.8,4.5,0.0,9.2
124,Madrid,2026-03-26,17.3,4.3,0.0,15.4
125,Madrid,2026-03-27,19.2,3.7,0.0,15.3
126,Madrid,2026-03-28,17.0,4.4,0.0,19.5
127,Madrid,2026-03-29,12.9,4.5,0.0,21.8
128,Madrid,2026-03-30,19.7,2.3,0.0,18.4
129,Madrid,2026-03-31,19.7,8.3,0.0,19.3
130,Madrid,2026-04-01,19.9,7.5,0.0,17.8
131,Madrid,2026-04-02,18.1,6.6,0.0,15.6
132,Madrid,2026-04-03,21.5,4.9,0.0,14.0
133,Madrid,2026-04-04,23.9,7.4,0.0,6.3
134,Madrid,2026-04-05,25.5,9.5,0.0,5.8
135,Madrid,2026-04-06,25.4,11.1,0.0,10.7
136,Madrid,2026-04-07,22.0,12.7,0.8,12.5
137,Madrid,2026-04-08,17.8,11.1,6.2,13.6
138,Madrid,2026-04-09,25.7,8.4,0.0,8.9
139,Madrid,2026-04-10,27.2,14.2,0.0,9.0
140,Madrid,2026-04-11,21.3,13.7,0.0,13.5
141,Madrid,2026-04-12,15.6,10.0,4.7,17.9
142,Madrid,2026-04-13,14.6,5.5,0.0,14.2
143,Madrid,2026-04-14,20.7,7.1,0.0,9.5
144,Madrid,2026-04-15,23.9,8.4,0.0,10.5
145,Madrid,2026-04-16,25.5,9.5,0.0,10.7
146,Madrid,2026-04-17,26.1,10.5,0.0,9.2
147,Madrid,2026-04-18,27.0,12.4,0.0,7.4
148,Madrid,2026-04-19,27.3,14.7,0.0,12.1
149,Madrid,2026-04-20,26.9,12.6,0.0,8.9
150,Madrid,2026-04-21,26.4,12.9,0.1,12.2
151,Madrid,2026-04-22,23.1,13.4,0.0,9.2
152,Madrid,2026-04-23,26.4,12.0,0.0,14.3
153,Madrid,2026-04-24,21.8,12.5,3.2,10.2
154,Madrid,2026-04-25,22.9,14.4,0.9,8.1
155,Madrid,2026-04-26,25.5,13.5,0.0,8.7
156,Madrid,2026-04-27,25.8,14.2,0.0,8.4
157,Madrid,2026-04-28,24.8,12.7,0.0,14.0
158,Madrid,2026-04-29,18.9,13.9,20.4,12.6
159,Madrid,2026-04-30,21.5,11.9,1.0,6.3
160,Madrid,2026-05-01,24.5,11.9,0.0,9.1
161,Madrid,2026-05-02,18.7,14.7,7.0,16.3
162,Madrid,2026-05-03,19.4,12.7,3.9,15.5
163,Madrid,2026-05-04,19.9,11.3,0.8,15.3
164,Madrid,2026-05-05,19.3,10.7,0.0,13.3
165,Madrid,2026-05-06,19.9,6.9,0.0,6.4
166,Madrid,2026-05-07,17.8,11.0,2.0,10.5
167,Madrid,2026-05-08,18.2,10.1,2.5,7.9
168,Madrid,2026-05-09,17.3,12.6,10.6,14.2
169,Madrid,2026-05-10,14.5,10.7,9.4,13.9
170,Madrid,2026-05-11,18.1,9.3,0.0,12.5
171,Madrid,2026-05-12,16.2,10.6,3.8,13.8
172,Madrid,2026-05-13,20.1,10.1,0.3,12.1
173,Madrid,2026-05-14,21.9,11.3,0.1,14.1
174,Madrid,2026-05-15,16.6,10.2,1.1,12.9
175,Madrid,2026-05-16,20.3,6.4,0.0,6.6
176,Madrid,2026-05-17,21.7,10.9,0.4,10.6
177,Madrid,2026-05-18,23.3,10.4,0.0,13.0
178,Madrid,2026-05-19,26.1,12.3,0.0,8.0
179,Madrid,2026-05-20,29.5,13.2,0.0,6.9
180,Madrid,2026-05-21,31.1,15.2,0.0,7.9
181,Madrid,2026-05-22,31.8,16.1,0.0,11.5
182,Pereira,2026-04-17,22.9,15.6,32.3,9.0
183,Pereira,2026-04-18,25.2,14.4,1.9,11.0
184,Pereira,2026-04-19,24.4,15.3,3.3,11.3
185,Pereira,2026-04-20,25.2,15.6,1.8,8.9
186,Pereira,2026-04-21,25.3,15.4,0.9,13.4
187,Pereira,2026-04-22,24.5,16.8,1.3,11.0
188,Pereira,2026-04-23,24.5,15.7,2.2,9.4
189,Pereira,2026-04-24,24.8,14.9,3.6,9.6
190,Pereira,2026-04-25,25.4,15.9,0.2,9.5
191,Pereira,2026-04-26,26.2,15.0,13.2,10.6
192,Pereira,2026-04-27,25.0,15.6,9.8,8.8
193,Pereira,2026-04-28,24.6,16.2,10.6,10.5
194,Pereira,2026-04-29,25.0,17.1,8.4,7.7
195,Pereira,2026-04-30,26.4,17.2,13.4,10.3
196,Pereira,2026-05-01,25.7,15.2,2.5,9.6
197,Pereira,2026-05-02,22.5,16.5,4.7,9.2
198,Pereira,2026-05-03,24.6,16.3,8.4,6.9
199,Pereira,2026-05-04,24.8,16.8,20.2,6.2
200,Pereira,2026-05-05,25.7,17.3,11.1,10.4
201,Pereira,2026-05-06,26.0,15.9,5.4,9.3
202,Pereira,2026-05-07,26.5,17.4,15.7,9.8
203,Pereira,2026-05-08,24.1,17.0,18.7,7.1
204,Pereira,2026-05-09,27.2,16.6,0.0,7.6
205,Pereira,2026-05-10,26.5,17.6,3.7,7.9
206,Pereira,2026-05-11,24.1,17.1,16.2,7.2
207,Pereira,2026-05-12,24.8,17.3,6.3,7.4
208,Pereira,2026-05-13,26.8,17.0,3.7,7.7
209,Pereira,2026-05-14,27.5,17.4,0.1,8.0
210,Pereira,2026-05-15,26.8,17.9,9.3,9.1
211,Pereira,2026-05-16,25.5,17.5,8.7,7.7
212,Valledupar,2026-04-23,33.5,25.1,1.0,13.2
213,Valledupar,2026-04-24,31.9,24.7,4.5,15.9
214,Valledupar,2026-04-25,32.5,25.5,0.0,14.6
215,Valledupar,2026-04-26,34.8,25.5,1.0,15.0
216,Valledupar,2026-04-27,33.9,25.0,0.3,15.9
217,Valledupar,2026-04-28,33.0,25.1,2.2,16.5
218,Valledupar,2026-04-29,34.0,25.5,0.6,16.3
219,Valledupar,2026-04-30,35.8,26.3,0.2,18.8
220,Valledupar,2026-05-01,37.9,25.6,0.2,19.6
221,Valledupar,2026-05-02,34.5,26.5,0.6,15.2
222,Valledupar,2026-05-03,34.7,25.6,0.1,13.9
223,Valledupar,2026-05-04,37.0,26.2,0.0,10.7
224,Valledupar,2026-05-05,38.2,26.2,0.0,22.4
225,Valledupar,2026-05-06,37.4,25.9,0.0,17.6
226,Valledupar,2026-05-07,38.5,26.6,0.0,19.9
227,Valledupar,2026-05-08,39.8,26.7,0.0,22.0
228,Valledupar,2026-05-09,38.2,27.1,1.1,28.1
229,Valledupar,2026-05-10,38.6,25.9,0.0,24.3
230,Valledupar,2026-05-11,37.4,25.7,0.0,19.6
231,Valledupar,2026-05-12,33.5,24.8,1.7,14.9
232,Valledupar,2026-05-13,34.8,25.2,0.6,17.7
233,Valledupar,2026-05-14,33.2,25.1,0.1,8.3
234,Valledupar,2026-05-15,37.0,25.5,0.7,15.1
235,Valledupar,2026-05-16,37.0,24.6,0.3,20.1
236,Valledupar,2026-05-17,36.2,25.6,0.2,18.1
237,Valledupar,2026-05-18,35.1,25.1,0.0,20.4
238,Valledupar,2026-05-19,34.3,24.5,0.0,20.6
239,Valledupar,2026-05-20,35.8,26.0,0.0,20.9
240,Valledupar,2026-05-21,32.5,25.8,11.2,19.2
241,Valledupar,2026-05-22,33.2,25.0,0.9,15.0
242,York,2026-04-01,8.3,2.7,0.8,24.4
243,York,2026-04-02,9.2,4.5,3.7,26.3
244,York,2026-04-03,5.3,2.3,0.8,27.0
245,York,2026-04-04,11.5,-0.2,0.0,41.5
246,York,2026-04-05,19.2,-1.0,0.0,22.4
247,York,2026-04-06,12.1,2.8,0.0,30.8
248,York,2026-04-07,16.4,0.6,0.0,29.5
249,York,2026-04-08,19.8,9.3,0.0,41.4
250,York,2026-04-09,13.0,5.0,0.0,33.7
251,York,2026-04-10,13.4,0.3,0.0,24.1
252,York,2026-04-11,22.1,8.7,2.9,37.5
253,York,2026-04-12,27.1,18.3,0.0,41.7
254,York,2026-04-13,32.0,17.9,0.0,37.6
255,York,2026-04-14,27.4,11.5,0.0,26.8
256,York,2026-04-15,21.3,10.7,0.7,27.2
257,York,2026-04-16,30.3,6.7,0.0,37.5
258,York,2026-04-17,20.6,7.5,0.0,43.1
259,York,2026-04-18,13.6,-2.6,0.0,27.0
260,York,2026-04-19,20.2,1.5,0.0,25.0
261,York,2026-04-20,29.7,5.3,0.0,35.9
262,York,2026-04-21,31.2,10.9,0.0,34.5
263,York,2026-04-22,27.1,13.9,0.0,40.5
264,York,2026-04-23,28.4,13.8,0.0,38.6
265,York,2026-04-24,20.4,3.6,0.0,27.7
266,York,2026-04-25,16.5,7.4,25.6,39.0
267,York,2026-04-26,16.9,5.9,0.7,25.6
268,York,2026-04-27,15.3,7.0,0.0,35.6
269,York,2026-04-28,8.5,4.8,0.4,24.6
270,York,2026-04-29,17.0,1.2,0.0,10.9
271,York,2026-04-30,14.1,6.1,0.0,25.7
272,York,2026-05-01,15.5,2.1,0.0,23.8
273,York,2026-05-02,20.9,-0.4,0.0,24.4
274,York,2026-05-03,23.9,8.9,0.0,26.9
275,York,2026-05-04,26.9,8.3,0.0,37.3
276,York,2026-05-05,14.5,8.5,0.0,26.9
277,York,2026-05-06,15.9,3.6,0.0,20.9
278,York,2026-05-07,23.2,6.3,0.0,26.1
279,York,2026-05-08,25.3,12.1,0.0,22.0
280,York,2026-05-09,27.5,7.0,0.0,33.0
281,York,2026-05-10,23.2,6.3,0.0,15.6
